STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,Tract,NAME20,LifeEXP,Education,MedHH$,14+Days,OwnerOcc,OWOCC1,OOPC1,OwnOC2,OOCFin,Renter,Renter1,RENT1PRCT,Renter2,Renter3,1+2+3,RENTALLPRCT,#HH,Totpop,Age25+,HS,HSPRCT,BACH,BAPRCT,LT HS,LTHSPRCT,BA+,BAPRCT,HighSpeed,SPEEDPRCT,NATHISPEED,MNHISPEED,SIXHISPEED,NATL25,LTHS,PRCTLTHS,NATBA+,NATBA+PC,MN25,MNLTHS,MNLTHSPC,MNBA+,MNBA+PC,SIX25,SIXLTHS,SIXLTHSPC,SIXBA+,SIXBA+PC,NATMDHH$,MNMDHH$,DULUTHMSA$,FARGOMSA$,MANKATOMSA$,ROCHESTERMSA$,STCLOUDMSA$,SIXCITY$,NATHOUSING,NATPERCT,MNHOUSE,MNPRCT,DULUTHRENT,FARGORENT,MANKATORENT,ROCHESTERRENT,SCMSA,SIXRENT,NATRENT$,MNRent$,DULUTHRENT$,FARGORENT$,MANKATORENT$,ROCHESTERRENT$,STCLOUDRENT$,RENT,NATVALUE,MNVALUE,DULUTHMSAVALUE,FARGOMSAVALUE,MANKATOMSAVALUE,ROCHESTERMSAVALUE,STCLOUDMSAVALUE,STCLOUDVALUE,White1,Hispan1,Black1,Asian1,Native,Other1,Two+,PCTPOC,POCSIXPRCT,NATPOC,MNPOC,DULUTHMSAPOC,FARGOMSAPOC,MANKATOMSAPOC,ROCHESTERMSAPOC,STCLOUDMSAPOC
27,9,20206,27009020206,27009020206,202.06,77.6,85.2,"$47,500 ",12.6,751,170,22.6%,0,22.6,583,318,54.5%,0,0,318,54.5,"1,334","2,583","2,328",670,28.8,471,20.2,182,7.8,576,24.7,1055,79.1,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$939,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$178,600","2,359",69,25,27,7,10,84,8.7,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,9,20300,27009020300,27009020300,203,83.4,85.2,"$84,583 ",13.9,1065,208,19.5%,0,19.5,178,14,7.9%,19,0,33,18.5,"1,243","3,949","2,237",515,23.0,546,24.4,90,4.0,745,33.3,1109,89.2,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,"$1,385","$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$239,500","3,710",67,16,34,16,9,96,6.1,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,9,21102,27009021102,27009021102,211.02,79.5,85.2,"$50,427 ",14.8,1155,187,16.2%,11,17.1,917,334,36.4%,6,0,340,37.1,"2,072","4,565","3,192",960,30.1,472,14.8,205,6.4,759,23.8,1780,85.9,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$755,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$156,000","3,912",189,142,70,22,35,193,14.3,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,9,21103,27009021103,27009021103,211.03,78.2,85.2,"$45,478 ",14.3,655,94,14.4%,0,14.4,946,319,33.7%,0,0,319,33.7,"1,601","3,512","2,414",542,22.5,708,29.3,125,5.2,807,33.4,1338,83.6,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$775,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$173,500","2,981",135,123,57,29,3,182,15.1,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,9,21104,27009021104,27009021104,211.04,78.2,85.2,"$65,449 ",14.3,1406,213,15.1%,0,15.1,288,70,24.3%,15,0,85,29.5,"1,694","4,735","2,808",688,24.5,371,13.2,81,2.9,709,25.2,1613,95.2,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,"$1,065","$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$194,500","4,203",121,55,104,25,6,221,11.2,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,9,21201,27009021201,27009021201,212.01,78.2,78.3,"$43,967 ",17.1,1188,167,14.1%,0,14.1,2062,668,32.4%,37,44,749,36.3,"3,250","6,828","3,982",1124,28.2,579,14.5,845,21.2,735,18.5,2596,79.9,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$717,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$141,100","4,197",404,"1,575",133,49,37,433,38.5,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,141,31500,27141031500,27141031500,315,74.7,77.4,"$47,753 ",15.0,1154,197,17.1%,0,17.1,1893,673,35.6%,192,0,865,45.7,"3,047","7,597","5,348",1551,29.0,922,17.2,1063,19.9,1428,26.7,2306,75.7,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$900,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$143,100","4,791",253,"1,909",206,85,30,318,36.9,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,301,27145000301,27145000301,3.01,78.5,77.4,"$49,375 ",15.9,797,91,11.4%,0,11.4,619,336,54.3%,56,0,392,63.3,"1,416","3,567","2,148",599,27.9,447,20.8,198,9.2,658,30.6,1228,86.7,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$899,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$129,100","2,342",169,682,132,8,27,204,34.3,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,303,27145000303,27145000303,3.03,,77.4,"$31,445 ",20.8,26,0,0.0%,0,0.0,685,286,41.8%,3,0,289,42.2,711,"2,396",438,99,22.6,95,21.7,58,13.2,139,31.7,629,88.5,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$527,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100",MISSING,"1,497",129,306,344,11,18,86,37.5,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,304,27145000304,27145000304,3.04,,77.4,"$35,698 ",20.8,479,52,10.9%,19,14.8,1491,708,47.5%,72,0,780,52.3,"1,970","5,586","2,466",576,23.4,368,14.9,428,17.4,560,22.7,1850,93.9,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$776,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$188,500","2,207",154,"2,716",232,30,31,210,60.5,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
