Back to Overview,,,,,Back to Overview,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
GENERAL,,,,,BILLING,,,,,,,,,,,,,,,
Date:,2/14/21,,,,Invoice Protocol:,"For transactions conducted in SAP Ariba, invoices shall be submitted directly through Ariba. For invoices paid by ACH or by check, unless stated otherwise, invoices shall be electronically submitted by email to accountspayable@examplecity1.",,,,,,,,,,,,,,
CGEE Primary Contact Person:,[First] [Last],,,,Notes:,"They prepaid for 100 signs in 2021. As of Dec 15th, 2021 66 out of 100 signs in the 2021 contract had been sent out.",,,,,,,,,,,,,,
CGEE Secondary Contact Person:,[First] [Last],,,,,"As of Jun 24, 2022, 32 more packets of the 2021 budget had gone out, leaving 2 more remaining from the 2021 contract.",,,,,,,,,,,,,,
,,,,,,"In final 2022 invoice, charged 25 packets instead of 27 because of the 2 remaining prepaid packets from 2021..",,,,,,,,,,,,,,
CONTACT INFO,,,,,,2022,2022-24 Contract,,,,,,,,,,,,,
Organization:,City of Washington City 1,,,,Invoice Number,,,,CIV-1468 [Link],,CIV-1530 [Link],,,,,,,,,
,Primary,Secondary,,,Date,,,,11/2/22,,1/17/22,,,,,,,,,
Contact,[First] [Last],,,,,,,,Invoice #1,,Invoice #2,,Invoice #3,,Invoice #4,,Total To-Date,,Remaining,
Title,Environmental Specialist,,,,,Amt per Unit,Number,Contract Amount,Number,Amount,Number,Amount,Number,Amount,Number,Amount,Total To-Date Number,Total To-Date Amt,Remaining Number,Remaining Amt
Department,Public Works,,,,Set up: GIS Data,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
Office Phone,[xxx-xxx-xxxx],,,,Set up: Website Customization,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
Cell Phone,,,,,Set up: Graphic Design,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
Email,flast@examplecity1.org,,,,Annual Site License,$0.01,"213,000","$2,130.00","213,000"," $ 2,130.00 ",0, $ -   ,0, $ -   ,0, $ -   ,"213,000"," $ 2,130.00 ",0,$0.00
Address,326 East Street,,,,Summary Eval,$1.01,5,$5.05,5, $ 5.05 ,0, $ -   ,0, $ -   ,0, $ -   ,5, $ 5.05 ,0,$0.00
City,Example City,,,,Social Media Collaboration,$1.02,25,$25.50,25, $ 25.50 ,0, $ -   ,0, $ -   ,0, $ -   ,25, $ 25.50 ,0,$0.00
State,WA,,,,CGEE Consulting,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
Zip,98000,,,,Postcard,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
Org URL,https://www.examplecity1.org/,,,,Metal Signs,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
Notes:,,,,,Coroplast Signs,$1.03,100,$103.00,0, $ -   ,25, $ 25.75 ,0, $ -   ,0, $ -   ,25, $ 25.75 ,75,$77.25
,,,,,Welcome Packets & Cards,$1.04,100,$104.00,0, $ -   ,25, $ 26.00 ,0, $ -   ,0, $ -   ,25, $ 26.00 ,75,$78.00
,,,,,Packet Distributions,$1.05,100,$105.00,0, $ -   ,25, $ 26.25 ,0, $ -   ,0, $ -   ,25, $ 26.25 ,75,$78.75
CONTRACT MANAGEMENT,,,,,Clean up Claws,$0.00,0,$0.00,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0, $ -   ,0,$0.00
Description,Term,Amount,Notes,,Subtotal,,,"$2,472.55",," $ 2,160.55 ",, $ 78.00 ,, $ -   ,, $ -   ,N/A," $ 2,238.55 ",N/A,$234.00
Example City 22-24 Contract [Link],"2022 to Dec 31, 2024",$0.00,,,10% Indirect,,0.10,$247.26,, $ 216.06 ,, $ 7.80 ,, $ -   ,, $ -   ,N/A, $ 223.86 ,N/A,$23.40
Example City 2021 Contract [Link],"Feb 1, 2021 to Feb 1, 2022",$0.00,,,Total Amt,,,"$2,719.81",," $ 2,376.61 ",, $ 85.80 ,, $ -   ,, $ -   ,N/A," $ 2,462.41 ",N/A,$257.40
,,,,,Total on Contract,,,,,,,,,,,,,,,
,,,,,Difference,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,2023,2022-24 Contract,,,,,,,,,,,,,
,,,,,Invoice Number,,,,CIV-1531 [Link],,CIV-1763 [Link],,CIV-1958 [Link],,,,,,,
